,cons,pros
1946,"Requiere de mucho tiempo y desicación, lo que no es malo, pero requiere de mucha entrega.",Maravilloso lugar para trabajar y desarrollar las capacidades profesionales
1947,Erfahrungen basieren auf den ersten Monaten im neuen Unternehmen,Sehr junges dynamisches und motiviertes Team. Gemeinsam erschafft man Prozesse und Strukturen und ist bei der Entwicklung von neuen Services direkt beteiligt. Tolle Interaktion mit Kollegen aus anderen Märkten.
1948,"Muita gente pra mandar, mudanças de planos e forma de trabalho constantes, múltiplas funções sem o devido reconhecimento e falta gestão com qualificações para lhe dar com pessoas.","Ambiente descontraído, estrutura tecnológica. Abertura para expor ideias e opiniões, não tem restrição com relação a localidade de moradia do funcionário e muito aprendizado."
1949,"Pessima gestão. Por ser uma empresa relativamente nova no Brasil, e em alta expansão, eles acabam colocando em cargos de liderança, pessoas despreparadas.","Ambiente descontraídos e pessoas legais, salário e benéficos muito bons.Otima localização e grandes chances de crescimento. Empresa com espirito jovem"
1950,Liderança nem sempre tão sincronizada com oa problemas. Melhorar a comunicacao e algo que precisa ser desenvolvido assim como em muitas outras,Ambiente de trabalho e oportunidaes de carreira. Desenvolvimento pessoal e profissional. Na empresa voce aprender a lidar bem com pessoas de ambitos diferentes
1951,"Falta qualquer tipo de estrutura de rh ou visão de desenvolvimento de equipe. As lideranças são extremamente jovens, tem pouca capacidade de gestão de pessoas, falta organização de processos e gastos. Tudo vira prioridade de uma hora para outra fazendo com que se crie uma cultura de apagar incêndios a todo o momento. Exige-se resiliência e não há reconhecimento, com isso perdemse excelentes profissionais.","Empresa em momento de grande expansão com um excelente produto (UberEats). Ambiente divertido, agradável e com uma cultura organizacional muito boa e profissionais dedicados."
1952,Ainda existe um abismo entre a parte operacional e os escritórios. Algumas ações não chegam até a base da pirâmide e o diálogo entre as áreas ainda deixa a desejar.,"Além de ser uma empresa diversa, que transforma o discurso em ações concretas quando o assunto é diversidade, a Uber oferece diversas possibilidades de crescimento ao seus funcionários. O subsídio de cursos e os programas internos, bem como os treinamentos oferecidos, fortalecem uma cultura própria, que estabelece relações eficientes dentro de casa."
1953,"Recursos humanos e salário. Mesmo tendo muitas chances de mudar de setor, tudo é muito burocrático. Há divisões claras quanto as áreas e o pacote de benefícios + salário não é atrativo.","Diversidade e dinamismo, a empresa oferece muitas oportunidades de crescimento em diversos campos. Há um respeito quanto a diversidade e um dos pilares é ser você mesmo."
1954,No hay seguro ni te dan para las multas ni para la moto a veces te sale alguien que quiera robarte y eso tampoco lo pagan si tomas vacaciones tienes que empezar de cero,Nadie te está mangoneando no te pierdes cumpleaños ni fiestas familiares tienes tiempo para todo y hago lo que más me gusta andar en mi moto
1955,"Salaire pas très élevé, horaires inadaptées","Flexibilité, Pas besoin de qualifications particulières"
1956,Que al igual que tienes sus ganancias tambien tiene sus detalle como que no cuenta con seguro social ni seguro de vida ya corre por nuestra cuenta cualquier percanse para mi y mi familia,Es iuna empresa que no te exige tiempo ni un pareon que te este exigiendo ya depende de ti si quieres ganar mas o menos ya que tu puedes encargarte de tus cosas asi como ir por tus hijos a la escuela y llevar a tu mujer a comer sin ningun pendiente.
1957,"Rush, manque de formation","Bon salaire, équipe sympa, bon cadre de travail"
1958,Al ser una empresa en que está dejando de ser una Startup cada vez hay más burocracia. Creo que esto es algo que principalmente afecta a aquellos que han vivido esta transición y no tanto los nuevos empleados.,"La empresa hace que sus trabajadores estén muy cómodos, se preocupa por ellos y les permite flexibilidad con los horarios. Recomiendo altamente a Uber como un lugar para trabajar."
1959,"trabalho demais todos os dias, mas como gosto muito nao me importo. Tenho ambição e acredito que agora seja o momento certo para dedicação e depois colho os frutos","gosto de tudo que a empresa pode me oferecer, aprendo muito todos os dias e acho que tenho grande oportunidade de crescimento bem como de amadurecimento"
1960,"Muy baja paga comparada con la competencia, horarios excesivamente largos, de más de 12hrs, escasa cantidad de viajes por hora, y como repartidor jamás recibes la razón de los problemas","Facilidad de trabajo, es más razonable que las empresas de competencia, fácil registro y apoyo en tiempo real para problemas en los pedidos"
1961,Las tarifas varean demasiado aveces puedes ganar mucho o poco por un viaje que es el mismo y dependiendo tu vehículo aveces se hasta gasta más o menos en gasolina pero eso no es culpa de uber,Es muy facil registrarse y cualquiera que cuente con un medio de transporte puede ser socio la paga es buena y tú mismo te pones tus horarios
1962,"Falta de procesos definidos, sin embargo son cosas que se trabajan en el dia a dia, los procesos de contratación podrian ser mas rapidos y eficientes.","Calidad en trato humano y ambiente laboral positivo, para desarrollar las habilidades y aptitudes de los colaboradores, los puestos directivos son profesionistas y humanos excelentes."
1963,No existen prestaciones pero aún asi sigue siendo una muy buena empresa para trabajar,Es buenisima la verdad me quedo con ella
1964,"Não é tão moderna, só há tempo de fazer o trabalho que tem de ser feito e pronto, as comunicações internas precisam ser melhoradas, assim como os processos claros. Para crescer dentro da empresa tu precisa de amizades. Não há feedback em prol do desenvolvimento, acho as lideranças desligadas nesse ponto.","As pessoas se ajudam, a equipe em que trabalhei era bem unida. A empresa procura manter a diversidade e ser inclusiva no ambiente de trabalho. Não há restrições muito grandes, no geral as pessoas podem ser livres. Os benefícios são ótimos,"
1965,"Poca o nula oportunidad de crecimiento , no se toman en cuenta muchas de las opiniones para la mejora de la operación , pero en general todo bien","Buenas prestaciones, agradable ambiente laboral , eventos recreativos , buena comunicación con superiores y disponibilidad , vacaciones y más"
1966,"Percebo muito que para crescer eu tinha que ser amiga de alguém, não bastava apenas ser uma boa profissional, dedica, responsável, e mesmo assim sou imensamente grata ao meu período de aprendizagem","Essa experiência contribuiu muito na minha vida, tanto profissional quanto pessoal, meu desenvolvimento a todo instante me fez um ser humano melhor. Minha supervisão era extraordinária"
1967,"Ninguno , son detalles muy mínimos pero lo feo es la mochila que está un poco grande pero para nada pesa , casi todo es bueno en ese trabajo","Buen horario , eres tú jefe , buenos ingresos , y excelente ambiente , te la pasas manejando y en lo personal a mi me gusta mucho eso por eso trabajo ahí me da tiempo de ir a la universidad"
1968,"El tamaño fe la institución misma puede repercutir en muchas ocasiones en la autonomía de los diversos mandos, así como la oportuna y adecuada comunicación dentro de la empresa.","Una estructura organizacional muy sólida, con colaboradores distribuidos por todo el mundo hacen de ésta empresa dedicada al desarrollo de tecnología, la mejor en su clase."
1969,"Particularmente não tive reconhecimento, minha métrica (média de avaliações feitas pelos parceiros) era boa e mesmo assim, quando fui demitida, a coordenadora usou como desculpa, até hoje não sei por que saí.","Ambiente legal, a gente pode ser a gente mesmo, não precisamos entrar num personagem, podemos conversar tranquilamente com os parceiros (motoristas) e deixar a conversa agradável."
1970,"O crescimento foi bastante rápido e algumas áreas específicas não conseguiram seguir o mesmo nível de organização que antes tinham, mas estão sendo corrigidos.","Empresa moderna, que trabalha com um produto inovador, busca um mix de perfis e de talentos para construir uma base sólida. Dá espaço e oportunidade para talentos."
1971,"Sem facilidade na escala para questões de estudos, mesmo ofertando propostas que não prejudiquem à empresa;",Reconhecimento do funcionário;\r\nCampanhas de incentivo;\r\nAmbiente agradável e acolhedor;\r\neventos
1972,"Todas as informações parte de fora, ela ainda tem pouco autonomia no País. O modelo de negocio ainda é muito capitalista e pouco humano. Isso precisa mudar urgentemente num País como o Brasil",A empresa ela é nova então está em constante mudança e o grande feito disso é que possibilita que possamos dar opiniões diversas e mudar varias coisas
1973,Empresa muito jovem ainda desenvolvendo a grande maioria dos seus processos internos. Muitos cargos de liderança e poucos cargos operacionais.,"Divertida, aberta, faz a coisa certa, valoriza as melhores ideias, inclusiva, global, inovadora, investe nas pessoas, investe nas cidades, ajuda o mundo."
1974,"Como qualquer startup, é tudo meio bagunçado, e a gente que tava colocando em ordem. Não sei nem se é um defeito, já que é o fluxo natural das coisas.","O ambiente é muito agradável e amigável, não existem regras muito restritas pra nada, se não causa problemas, é ok. Somos livres para usar as roupas que quisermos, chinelo, etc, assistir Netflix, ouvir música no Spotify, tem festa de aniversário temática todo mês com tudo que temos direito, enfim. Contanto que se usasse o bom senso, nada seria proibido."
1975,Tu pones la motocicleta El mantenimiento de la motocicleta va por tu cuenta Tu pones la gas Gastas datos móviles No estás asegurado Alto riesgo de accidentes,Horario indefinido Lo que ganes depende de ti Puedes trabajar siempre cerca de tu casa La mayoría del tiempo hay trabajo disponible Si te gusta andar en moto es el trabajo perfecto
1976,"A parte que eu considero negativa na empresa é que pelo fato de que as pessoas que te gerenciam são jovens, as vezes falta uma maturidade em alguns pontos, mas no geral é Ok.","A empresa está em constante expansão, então tem muita oportunidade, a gerência é jovem, e te auxiliam em seu desenvolvimento profissional. Obrigado."
1977,"No siempre te llegan viajes, aveces no ganas mucho, y cuando no hay tarifa dinámica los pagos son muy bajos. La app necesita más demanda por que aplicaciónes como Rappi, esta tomando mucho mercado.","Puedes acomodar tu horario, tienes la posibilidad de tomar tus vacaciones cuando quieras, puedes hacerlo en tus tiempos libres si tienes otro trabajo, y no ganas lo mismo pero es un bien trabajo."
1978,Mucho trabajo pero vale la pena,"Es abierta con horarios y políticas, vacaciones ilimitadas, horizontalidad total"
1979,"Os primeiros dias são ruins. A primeira impressão é excelente, porém o processo de adaptação do funcionário é bem ruim. Equipes que costumam postergar os processos de trabalho. As tarefas são distruidas de forma confusa e sem acompanhamento. Não há espaço para ter ideais. posições políticas e crenças diferentes do que a maioria das pessoas.","Benefícios para os funcionários, benefícios dentro dos aplicativos, horário de trabalho bem definido, ambiente inovador, as equipes se comunicam bem e ajudam quando existem dúvidas nas tarefas."
1980,"O salário é muito baixo, não há nenhum incentivo para você querer mostrar que você pode ser o melhor, tudo é tratado de forma coletiva então por muitas vezes você não é reconhecido pelas contribuições que realizou e o quanto você deu o sangue pela empresa.","O ambiente é muito descontraído, as vezes podíamos fazer horários flexíveis e de sexta tinha happy hour. Também a autonomia que eles te dão para poder ajudar em outro setor ou fazer outros tipos de atividade, você tem uma sensação de liberdade dentro da empresa."
1981,- énormément de travail ( 45- 50h par semaine ),"- opportunité de se développer\r\n-managers sont toujours à l'écoute\r\n-une bonne ambiance\r\n-une cantine à votre dispo (petit dej,dej, goûter)"
1982,"A gestão dos funcionários é muito confusa e nada transparente. Não é dada chance de crescimento ou mudança no comportamento. Feedback é apenas um protocolo, mas não pode ser levado como sua real situação.","Pessoas agradáveis de trabalhar, flexibilidade de horários, ferramentas para atendimento, festas mensais (pensei muito para todos esses pontos positivos porque não consigo ver muita coisa boa lá)"
1983,"o horario é bem rigoroso, as vezes crmprimos hora extra, nem sempre recebemos por elas, as horas trabalhadas podem ir para um banco de horas,","ambiente de trabalho maravilhoso, pessoas atenciosas, infra estrutura adequada para os membros, relacionamento interno muito bom, pagamento em dia e chance de crescimento"
1984,"Para empregados terceirizados (que são quem de fato colocam a mão na massa) a desorganização hirarquica é enorme. Horas extras a rodo, falta de funcionarios.","Boa remuneração, otimas pessoas. Os prédios dos escritorios são legais. Trabalham com wework que é 100. Muitas viagens e oportunidades absurdas de amadurecer profissionalmente"
1985,"A falta de informações completas sobre alguns processos que serão colocados em prática logo. Muitas vezes algo é lançado ou modificados e se você não correr atrás das informações, elas não chegam.","Empresa empenhada em fornecer um ambiente de trabalho saudável e confortável aos funcionários, bons benefícios, ótimos colegas de trabalho e um padrão sem muitas burocracias ."
1986,"Metas, metas, metas. Trabalhar com pessoas é desafiador e períodos emocionamente. Carga emocional levada, motoristas parceiros com ânimo exaurados todos os dias.",Ambiente alegre e dinâmico. Grande chances de desenvolvimento interpessoal e experiência com o público das mais variada ideologias e crenças.
1987,"No lo veo puntos negativos, hasta el momento , se me hace una empresa correcta la cual se preocupa mucho por su personal y eso a la mayoría le agrada","En general, el ambiente es muy agradable, cuentas con apoyo de tus superiores para cualquier duda, nos dan las armas para poder realizar una venta exitosa"
1988,Não existe uma plano de carreira definido e gera muita insatisfação entre os colaboradores. Fazendo com que o time fique desmotivado e renda pouco.,As mudanças acontecem rapidamente. Se algo precisa ser mudado é possível fazer em poucas semanas e tem bastante acessibilidade com os gestores.
1989,"Para quem procura crescer nao é tao easy assim, os gestores nao estao tao preocupados em aprimorar e crescer a equipe... os subordinados são limitados e o dia a dia fica repetitivo.","Ambiente de trabalho muito bacana, equipe muito unida, a jornada de trabalho é boa, embora tenha um pouco de extresse o trabalho em si nao é pesado quanto aparenta ser."
1990,Nada que justifique reclamação. A empresa está em constante crescimento e modificação. As pessoas só precisam conseguir acompanhar essa constante mudança.,"Engajamento, feedbacks constantes, chefia sensacional, muitas palestras de engajamento feminino, pessoal. Empresa com muitas propostas boas para a sociedade."
1991,"A empresa não possui processos e sistemas internos, ao mesmo tempo quer crescer a todo custo. Assim, a pressão interna é muito alta e a meritocracia nem sempre é tão clara.","Trata-se de uma empresa jovem. Assim, é possível ter uma ascensão rápida de carreira, exposição a desafios incríveis e muito aprendizado em um curto espaço de tempo."
1992,Tarefas muito importantes para um salário baixo. O nível do atendimento é altíssimo além de outras funções que demandam capacidade analítica.,Os pontos positivos da empresa é a oportunidade de crescimento. A cada semestre cresce muito e todos os meses abrem vagas laterais e processos seletivos para outras posições superiores.
1993,"Empresa em crescimento, processos à serem feitos, pouca explicação sobre o plano de carreira, muitos funcionários tercerizados, o que cria um ambiente de dúvidas.","Empresa com ambiente descontraído, pessoas amigáveis, salário compatível, bons beneficios (VT, VR, VA), pagam hora extra quando ela realmente foi necessaria."
1994,"Por se tratar de pessoas jovens, a liderança segue na mesma linha. No entanto elas não tem experiência em pessoas e sim em processos o que torna desagradável o trabalho.","Ambiente agradável, descontraído e tranquilo. Pessoas de fácil convívio, sem grandes pressões. Gente jovem com vontade de crescer!!!!!!!!!!!!"
1995,"O RH é precário e passa por dificuldades mensalmente. Se não erram salário, erram algum beneficio, VR, VT, etc. Os valores da empresa não são seguidos por todos, exemplo é o você se portar como dono, cita com a liderança que exite erro e mostra o que precisa ser feito, mas não o fazem por acreditar não ser uma prioridade.",A empresa confia em você para analisar projetos e procedimentos ainda não lançados com base na sua analise critica. Os beneficios são excelentes.
1996,"Trabalhar terceirizado não deixa com que a participação seja efetiva, pode haver mais inclusão relacionada a isso, pois terceirizados se esforçam do mesmo jeito.","Estrutura, benefícios, relação empresaxfuncionário, tudo 10! A Uber é uma empresa humana e cada vez mais vem trabalhando para incluir as pessoas."
1997,Il n'y en a pas,"Très formateur, exposition, resposnabilité, analyse"
1998,Demande beaucoup d'implication mais travail et projets gratifiants,- Diversité des projets\r\n- Autonomie et responsabilisation\r\n- Relations avec les partenaires coursiers et chauffeurs\r\n- Excellente ambiance de travail\r\n- Managers à l'écoute
1999,the salary is not very competitive,"Nice atmosphere, like-minded people\r\nNice atmosphere, like-minded people\r\nNice atmosphere, like-minded people\r\nNice atmosphere, like-minded people"
2000,"A estrutura do atual prédio pode ser melhor, com mais benefícios para os funcionários para se igualar aos demais prédios que existem. Ha ainda problemas de comunicação que precisam de atenção. A gerência precisa melhorar os feedbacks, a liderança não tem visibilidade adequada do que está bom e de onde podemoa chegar. Aumento de VR e inclusão de VT","Salários mais justos após ajuste, liderança parceira e engajada com resultados e o bem estar dos colaboradores. Gerência acessível e comunicação boa dentro dos times. Plano de carreira melhor desenvolvido e agora mais claro com reais oportunidades. Ambiente bom para trabalho, onde limites são respeitados e também sua saúde mental."
2001,A maioria das pessoas em cargo de chefia deixava a desejar. Alguns coordenadores tinham atitudes infantis e tomavam elas movidos por motivos ou desafetos pessoais. O salário era um pouco baixo. E o plano de carreira era quase uma fantasia. Davam cargos mas não alteravam carteira ou salário. Trabalha-se muito (tempo e esforço) e o retorno não é à altura.,"A equipe com quem trabalhei, funcionário do mesmo nível que eu, era ótima e muito engajada. Apenas dois Chefes eram realmente responsáveis com a equipe e pessoas que nos colocavam pra cima."
2002,"Novos supervisores tendem a se sentirem pressionados e acabam sendo mais rígidos do que o necessário, assim prejudicando os seus colaboradores, por terem ainda essa cultura de empresas antigas. As oportunidades de crescimento são muitas, mas não são diversificadas, acaba que algumas pessoas ficam estagnadas.","A cultura da empresa de horizontalidade funciona muito bem, você consegue trabalhar muito bem em conjunto com outras áreas. Os incentivos de qualidade de vida na empresa são ótimos. Funcionários muito prestativos."
2003,"Extrema diferenciação entre áreas de suporte/atendimento em relação a todas as outras áreas da empresa ou cargos de gestão mais altos. Infelizmente, há uma imensa disparidade de salário e benefícios entre elas. A empresa possui, em sua maioria, cargos com título de manager, o que torna muito difícil a progressão de carreira de quem entra em cargos mais baixos. Os gestores são inexperientes e imaturos e vários deles têm pouquíssima ou nenhuma experiência em gestão de pessoas. A comunicação é truncada e a prioridade muda toda hora (por vezes, não é possível saber o que é importante de fato). Volume de trabalho é absurdo e é muito difícil conciliar trabalho e vida pessoal. O excesso de autonomia concedido vem somado à falta crônica de processos e organização, o que faz os profissionais aprenderem tudo a fórceps, gerando um desgaste rápido. É culturalmente aceitável permanecer um ano ou menos na cia.","A empresa é jovem e muito dinâmica. Embora não tenha progressão de carreira muito definida, possui espaço para destaque no cargo atual e possibilidade de se tornar necessário em outras funções. A gestão é aberta a diálogo e bastante horizontal e sempre há espaço para colocar ideias, sugestões de mudança e oportunidades de melhoria. Visão crítica, quando coerente e ponderada, é sempre muito bem-vinda. Clima, num geral, é descontraído e bem humorado, o que torna o dia a dia mais leve."
2004,seu suporte aos seus parceiros na grande parte das vezes é feito de modo presencial e em horário comercial.,"A tecnologia utilizada por ela e o suporte aos seus usuários, prontidão e ótimo atendimento"
2005,Ainda não há um plano de carreira e algumas pessoas parecem não saber exatamente seu job description. Como é uma empresa relativamente nova muitas coisas ainda estão em construção. Importante estarem atentos ao crescimento do produto para que não fiquem pontas soltas.,"Autonomia na tomada de decisões, gestão de portas abertas onde todos os managers e o CEO estão disponíveis para conversar com qualquer colaborador. Programa de integração muito bacana fazendo com que todos sintam-se bem-vindos. Clima de startup com ambiente agradável e interação pessoas de diversas culturas."
2006,Nada a declarar em cons.,"Oportunidade de crescimento continua, e organização"
2007,"Falta de reconhecimento, plano de carreira não estruturado, nível de atividades excedem ao esperado em relação ao escopo da vaga, escritórios não adaptados para funcionários.","Trabalho em Equipe, grandes desafios, ambiente agradável, gerenciamento de pessoas, liderança próxima, grandes benefícios e empresa de pote Global."
2008,Ainda nao encontrei pontos negativos. Até o momento estou muito feliz com o que a empresa tem me oferecido e nao há do que reclamar até o momento.,É uma ótima empresa para se trabalhar. Muita oportunidade de crescimento. A empresa valoriza muito seus funcionarios. É importante lembrar que os motoristas da UBER nao sao empresagados da empresa. Eles são autônomos. Contratam nossa plataforma para conectá-los com os usuários.
2009,"Falta de oportunidade de carreira e pouco reconhecimento, caso necessite translado se for promovido não é subsidiado, as vezes o clima parece ser forçado a ser feliz","Equipamentos, funcionários realizam pesquisas internas de avaliação, ambiente de trabalho neutro e inclusivo, festas mensais e certa liberdade para funcionários criarem projetos"
2010,"Falta reconhecimento das hAbilidades, e reconhecimento de funcionários mais humanos, no qual valor faz a entrega de metas serem mais fáceis e reconhecidas.","Espírito de time, salário, festas, boa localização, grande experiência, proporciona crescimento profissional e pessoal, desenvolvendo a si e ao time."
2011,"Se você não for de esquerda, sobre represálias e não consegue ter um crescimento dentro da empresa. Não são ágeis em organizar salários e cargos depois que você passa num processo interno para troca de função. Só há chefes, não líderes e você não tem o direito de voz ativa. Os benefícios começam a perder sentido se você não tem reconhecimento.","Há video game, televisão e festas de aniversariantes todos os meses. Os benefícios são relativamente bons, melhor do que muitas empresas por aí."
2012,"Não existe plano de carreira e não existe uma gestão de RH na empresa. Ou seja, as pessoas não tem claridade sobre as vagas que podem se aplicar e quais são as oportunidades de desenvolvimento.","Flexibilidade e Autonomia de Decisão. A empresa dá muitos benefícios que melhoram muito a qualidade de vida das pessoas: almoço no escritório, phone allowance, gyn allowance."
2013,"Apesar do ótimo salário, não vale a pena por conta dos superiores te tratarem como lixo. Querem que o funcionário haja como robô, não tem a menor chance de crescimento.",Salário e benefícios bem acima do que o mercado paga. Horário de trabalho bom. Ambiente razoável. Boa estrutura física de trabalho. Equipamentos modernos.
2014,Las oficinas. Algunas cosas como la espera lla que los compañeros que te atienden algunos no todos te tratan de repente un poco indiferente y te asen sentir algo mal pero asta eso la empresa cadabes que vas te manda un correo para evaluar tu vicita,Tienes horarios flexible eres tu jefe y te apoyan en cualquier cosa cuando los contactas la empresa esta muy bien muy buen apoyo no ay ninguna quega y todos te ayudan y estan pendientes de ti
2015,Por ser uma startup alguns processos nāo estão desenhados ainda e isso pode dificultar as relações entre as áreas em termos de comunicação...,Muita chance de aprender com as pessoas inteligentes que trabalham lá. Os benefícios sāo incríveis e nāo conheço nenhuma outra empresa que tem algo parecido
2016,"Desorganização entre áreas que não alinham o que é estipulado, tornando o desencontro de informações muito presente no ambiente de trabalho.","Ambiente de trabalho, remuneração, cordialidade entre os funcionários, descontração, pessoas jovens e empoderadas tocando o trabalho, diversão entre a equipe. Algo que trás bastante empenho entre os funcionários é a questão da descontração entre a equipe."
2017,"Plano de carreira é algo que a UBER tem que melhorar muito. Nem sempre o plano funciona e em muitos cargos é confuso, fazendo com que a pessoa perca tempo.","Ambiente de trabalho é muito bacana, uma vez que a empresa valoriza a colaboração entre os funcionários, os desafios são constantes e as mudanças também."
2018,En la empresa de Ubereats hay veces en los que los restaurantes demoran en hacer la comida y no tienen buena actitud y cuando vas en bici hay zonas en las qué hay subidas muy empinadas y eso cansa mucho y demoras en entregar la comida,"En la empresa de Ubereats puedo trabajar cuando quiera y el tiempo que quiera, además de que me permite conocer los diferentes puntos de mi ciudad."
2019,"Nível de competição grande, as vezes acaba gerando algum tipo de atrito entre os integrantes do time de atendimento. Pouca chance de crescimento dentro da empresa, uma vez que ainda não existe um plano de carreira para esse cargo.","Uma grande oportunidade de crescimento profissional, a empresa vai exigir bastante de você, isso fará com que você cresça e se desafie a cada dia. Vale a pena."
2020,"Salarios y poca posibilidad de crecimiento. Subcontratacion por parte de Addeco, los seguros son muy pequeños, el aguinaldo no es tan bueno y existen errores de planeación, es inestable.","La empresa proporciona la comida, la zona de trabajo es buena y comoda, por angel de la independencia. No se trabaja los fines de semana. Buen ambiente."
2021,"Franchement j'ai pas trouver un inconvénient valable , donc aucun .",flexibilité \r\nbonne coordination \r\nService et a l'écoute quotidien\r\nDéveloppement méthodique de stratégie permanent .\r\ndivertissement d'investissement .\r\n Chiffre d'affaire on hausse et virement régulier\r\nAvis des partenaires prit en compte.
2022,"Malísima comunicación con su gente a veces no te hacen sentir parte de la empresa, y corren en ocasiones si. Justificación y como es contratación con empresas externas ni sabes ya nada de ellos.","Excelente ambiente de trabajo, no hay mucha presión empresa joven todos son muy amables, te dan mucha confianza no hay códigos de vestimenta"
2023,"Contato direto com o público, então a chance de você ter sua paciência testada diariamente, é muito grande. Um pouco desorganizado em questão de RH.","Ambiente jovial e com muita gente legal e descontraída. Empresa explora muito a diversidade de funcionários, sem preconceito algum. Boas oportunidades de crescimento"
2024,"Por ser uma empresa jovem, muitos dos procedimentos adotados durante o atendimento estao em fase de construção. Contudo, isso não impede a oferta de um serviço de qualidade.",A empresa é jovem e possui um clima de start up. A maioria das lideranças também são jovens e o intercâmbio de informações é sempre constante.
2025,"É uma empresa relativamente nova em fase de crescimento, e recentemente, instalada aqui no Brasil também. Logo, acaba sendo um pouco bagunçado e ineficiênte alguns processos. O mais grave, é a falta de comunicação.","A diversidade e cultura das pessoas que trabalham lá, o que torna o ambiente especial e muito harmônico para se trabalhar. Ótimo benefícios."
2026,"Falta de comunicação. Hierarquia confusa, ambiente calmo e sem possibilidade de dar opinião sobre determinados assuntos. Precisam de rever a voz do funcionário","Plano de carreira, bons benefícios e expectativa de crescimento. Tem possibilidade de fazer a diferença, tem reconhecimentos por quinzena. É muito boa"
2027,Hay pocas oportunidades de crecimiento para la cantidad de personal o es muy enfocado a ciertos perfiles. Podrían ofrecer más prestaciones diferentes a otras empresas,"El ambiente es muy relajado, somos la mayoría jóvenes y eso se siente en todo el ambiente. Me gusta que te dejen ser tú mismo y no discriminan por ninguna razón"
2028,Nada,"Plano de carreira, incentivo pelos gestores, benefícios que nenhuma outra empresa na região possui, possibilidade de ser você mesmo, enfim, ótimo lugar para se trabalhar."
2029,"Mucha competencia, dado que toda la gente es increíble, tienes que mantenerte en top de todo para poder aprender y para poder sobresalir y ser mejor","Todo, en realidad me gusta mucho trabajar acá. He aprendido demasiado y la gente que trabja acá es brillante. Puedes aprender de todos en cualquier momento."
2030,"Infelizmente os colaboradores terceirizados são tratados a parte dos que não são, causando situações desconfortáveis dando a parecer excludente.","Dinâmica, tecnologica, localização ótima, time que você pode contar, oferece benefícios igual as demais porém é parceira dos colaboradores internalizados"
2031,"Baixo salário inicial. Apesar deste item, a empresa oferece oportunidades decentes para crescimento interno. Basta investir em seus pontos profissionais corretos.",Sensacional para se trabalhar! Os funcionários são sempre motivados pelos superiores e encorajados a ter suas próprias ideias para a melhoria dos processos.
2032,"Falha na Comunicação , Pacote ruim de benefícios , Gestão a Distância , Disparidade grande na Remuneração entre cargos próximos , Falta de Variável na produção , Ausência de PL/ PPR.","Aprendizado sobre Startups , Rapidez nas informações , Tecnologia e Conhecimento sobre mundo globalizado , pacote Office , Docs Google e Aperfeiçoamento da Língua Estrangeira."
2033,"​“Jerk Genius”, a gente vê por aqui! Lideranças extremamente arrogantes e isso está minando a empresa de dentro pra fora. As ações para recuperação sofre uma inércia gigantesca para atingir os escritórios regionais. Empresa tenta, mas é pouco inclusiva apesar dos esforços contínuos para fomentar a inclusão (acha que inclusão só está ligada com identidade de gênero).","Salários e benefícios acima do mercado para as posições estratégicas, pessoas inteligentes para todos os lados, dinamismo e autonomia, o lugar certo para quem gosta de muito trabalho."
2034,"No hay prestaciones superiores a la ley, resulta monótono y rutinario el trabajo en ocasiones, contratación por outsorcing, no hay planes de contratación directa por la empresa.","Áreas de oportunidad y crecimiento y movilidad dentro de la empresa, buen ambiente de trabajo, buenas instalaciones, servicio de comedor, empresa joven y con cultura laboral flexible"
2035,"Puede llegar a trabajarse horas de más, se estan creciendo mucho entonces hay que estas dispuesto a recibir el cambio constante. Mucho estres por la cantidad.","Excelente empresa, grande oportunidades de crecer. Buen ambiente laboral, muchos retos oportunidades para cambiar la forma en la que se mueven las personas"
2036,je ne trouve pas assez de personnel pour travailler,"INDEPENDANT, je peux ne jamais m'arrêter de travailler"
2037,"Volume de trabalho muito elevado, falta processos e os líderes do país são bastante arrogantes. Não existe plano de carreira e falta coerência nas promoções.","A empresa é jovem e dinâmica, os profissionais são bastante qualificados e a empresa está sempre informando abertamente seu direcionamento e estratégias."
2038,Hay días en que no hay nada de pedidos y puedes estar hasta 2 horas sin pedido . Al igual que ya hay más compañero trabajando y eso hace que no tengas pedidos,"Es muy bueno trabajar, ya que no tienes jefe y puedes trabajar cuando quieras, ganará lo que quieres, y siempre tienes el apoyo de soporte. :)"
2039,"Empresa é nova e precisa ajustar alguns processos internos, porém existe intenso engajamento das pessoas em construir tais processos e contribuir com a evolução da companhia","Permite o crescimento dos profissionais, desenvole a carreira das pessoas, ambiente descontraído e que estimula a criatividade, processos pouco burocráticos"
2040,"Uma reclamação entre vários usuários que solicitam o Uber é que o motorista pode cancelar a viagem sem aviso prévio e mesmo assim o consumidor paga, se sua conta estiver vinculada a seu cartão de crédito.","A oportunidade de poder ter mais uma opção de preços de locomoção, já que o atual preço de transporte público são totalmente abusivas se for levado em conta seu estado. Sem falar em cupons que podem ser usados em momentos oportunos."
2041,"La empresa se preocupa poco por los empleados y ese genera inseguridad, también deberían de dar más prestaciones, igual que más sueldo y menos porcentaje para ellos",Libertad debido a que hay personas que lo hacen en sus tiempos libres y esos es muy satisfactorio para personas que se dedican a otras actividades como estudiantes
